,ring_metal,Overall Condition,Gemstone Weights (carats),Ring Price (usd),Ring Gross Weight (grams),Ring Size,Diamond Average Color,Diamond Average Clarity,Diamond Shapes,Gems Shapes,Gem Average Clarity,Gem Type
0,"Diamond, Platinum ", Good,[3.45 0.6 ],4000000.0,5.1,6.0, G-H-I, SI,"[' Tapered baguette', ' Marquise']",[],,[]
1,"Diamond, White Gold ", Good,[5.01 1.  ],4000000.0,6.9,6.0, G-H-I, SI,"[' Full-cut', ' Round Brilliant']",[],,[]
2,"Diamond, Platinum, White Gold ", Good,[6.4],4000000.0,4.47,4.0, M+, SI,[' European-cut'],[],,[]
3,"Diamond, Platinum ", Very Good,[7.15],4000000.0,5.51,6.0, M+, SI,"[' European-cut, Baguette']",[],,[]
4,"Fancy Light Yellow Diamond, Diamond, Gold ", Very Good,[5.04 1.52],4000000.0,5.9,6.0, G-H-I, SI,"[' Cut-Cornered Rectangular Modified Brilliant, Triangle']",[],,[]
5,"Fancy Intense Yellow Diamond, Diamond, Gold, Platinum ", Excellent,[5.87 1.12 6.99],4000000.0,9.6,6.0, D-E-F, VS,"[' Oval-shape, Full-cut']",[],,[]
6,"Diamond, Platinum ", Very Good,[2.56 3.13 1.   6.69],3906250.0,8.41,6.0, D-E-F, VS,"[' Pear-shaped, Baguette-cut, Tapered Baguette-cut']",[],,[]
7,"Fancy Intense Yellow Diamond, Diamond, Platinum, Gold ", Excellent,[3.04 1.02],3883750.0,6.28,6.0, G-H-I, VS,"[' Oval-cut, Full-cut']",[],,[]
8,"Diamond, Platinum ", Very Good,[4.41 0.3 ],3883750.0,7.88,5.0, J-K-L, SI,"[' Round Brilliant-cut, Tapered Baguette-cut']",[],,[]
9,"Colored Diamond, Diamond, Platinum ", Very Good,[5.65 1.5  7.15],3883750.0,12.8,5.0, H-I-J, VS - SI,[' Baguette'],[],,[]
10,"Diamond, Platinum ", Very Good,[3.12 0.4 ],3800000.0,6.0,6.0, G-H-I, VVS,[' Round brilliant-cut and tapered baguette-cut'],[],,[]
11,"Ceylon Yellow Sapphire, Diamond, Platinum ", Very Good,[13.77  1.63],3750000.0,9.7,6.0, G-H-I, VS,[' Emerald-cut'],[' Emerald-cut'],,[' Natural Yellow Sapphire']
12,"Diamond, Emerald, Gold ", Very Good,[2.57 4.21 1.34],3750000.0,11.5,5.0, G-H-I, SI,"[' Baguette', ' Emerald-cut']",[' Baguette'],,[' Emerald']
13,"Chameleon Diamond, Pink Diamond, Diamond, Gold ", Very Good,[2.25 0.15 0.3 ],3750000.0,5.2,6.0, G-H-I, VS,"[' Full-cut', ' Oval']",[],,[]
14,"Diamond, Platinum ", Very Good,[2.33],3750000.0,5.6,4.0,,,[' Round Brilliant'],[],,[]
15,"Fancy Vivid Yellow Diamond, Diamond, Platinum, Gold ", Very Good,[2.55 1.26 1.11],3750000.0,6.5,7.0,,,"[' Rectangular Modified Brilliant', ' Modified Shield Step Cut', ' Modified Shield Step Cut']",[],,[]
16,"Lucida® Diamond, Platinum ", Very Good,[2.12  nan],3750000.0,8.7,5.0,,,"[' Cut-Cornered Square Mixed Cut', ' Cut-Cornered Square Mixed Cut', ' Cut-Cornered Square Mixed Cut']",[],,[]
17,"Gentleman's Diamond, Gold ", Very Good,[5.19],3750000.0,13.21,8.0,,,[' Round Brilliant'],[],,[]
18,"Diamond, Platinum ", Very Good,[4.08],3750000.0,5.9,5.0, G-H-I, VS,"[' Round Brilliant-cut', ' Round Brilliant']",[],,[]
19,"Fancy Intense Yellow Diamond, Diamond, Platinum ", Very Good,[3.03 0.8 ],3750000.0,6.3,5.0, G-H-I, SI,"[' Oval-shaped', ' Oval-shaped']",[],,[]
20,"Diamond, Gold ", Very Good,[4.03 1.7  5.73],3750000.0,10.72,6.0, D-E-F, SI,"[' Cut Cornered Rectangular Modified Brilliant, Radiant-cut']",[],,[]
21,"Diamond, Platinum ", Very Good,[5.67 0.4 ],3750000.0,5.32,4.0, M+, SI,"[' Pear, Tapered Baguette-cut']",[],,[]
22,"Diamond, White Gold ", Very Good,[4.39 2.7 ],3750000.0,12.4,6.0, G-H-I, VS,"[' Emerald-cut, baguette-cut']",[],,[]
23,"Diamond, Platinum ", Very Good,[3.01 2.45],3750000.0,8.47,, G-H-I, VS,"[' Cushion Modified Brilliant-cut, Full-cut']",[],,[]
24,"Diamond, Platinum ", Very Good,[5.51 0.5 ],3750000.0,8.01,, J-K-L, SI,"[' Round Brilliant-cut, Tapered Baguette-cut']",[],,[]
25,"Diamond, Platinum, Gold ", Very Good,[3.16 0.5 ],3750000.0,11.52,4.0, G-H-I, VS,"[' Round Brilliant-cut, Radiant-cut']",[],,[]
