,Condition Report,Description,Sold Price
0,"Condition Report*:
Diamonds:
Avg Color: G-H-I
Avg Clarity: SI
Shape(s): Tapered baguette
Count: 1 - 25

Certified Diamonds:
Stone: 1
Lab: GIA
Certification #: 2205848146
Carat: 3.45
Color: D
Clarity: SI1
Shape: Marquise

Metals:
Gold

Overall Condition: Good
Condition Notes: The ring is marked 950 PT 3.45.","Diamond, Platinum Ring
The ring features a marquise-shaped diamond measuring 15.93 x 8.07 x 4.66 mm and weighing 3.45 carats, flanked by tapered baguette-cut diamonds weighing a total of approximately 0.60 carat, set in platinum. A GIA report # 2205848146, dated January 13, 2020, stating D color, SI1 clarity, accompanies the center stone. Gross weight 5.10 grams.
Size: 6 (sizeable)","SOLD ON OCT 5, 2020 FOR: $40,000.00"
1,"Condition Report*:
Diamonds:
Avg Color: G-H-I
Avg Clarity: SI
Shape(s): Full-cut
Count: 26 - 50

Certified Diamonds:
Stone: 1
Lab: GIA
Certification #: 2181598992
Carat: 5.01
Color: O-P
Clarity: VS1
Shape: Round Brilliant

Metals:
Gold

Overall Condition: Good
Condition Notes: Marked 18K 750.","Diamond, White Gold Ring
The ring features a round brilliant-cut diamond measuring 11.15 - 11.22 x 6.72 mm and weighing 5.01 carats, enhanced by full-cut diamonds weighing a total of approximately 1.00 carat, set in 18k white gold. A GIA report # 2181598992, dated July 19, 2017, stating O to P color, VS1 clarity, accompanies the center stone. Gross weight 6.90 grams.
Size: 6-1/4 (sizeable)","SOLD ON DEC 8, 2019 FOR: $40,000.00"
2,"Condition Report*:
Diamonds:
Avg Color: M+
Avg Clarity: SI
Shape(s): European-cut
Count: 1 - 25

Metals:
Platinum
Gold

Overall Condition: Good
Condition Notes: French hallmarks for platinum and 18k white gold. Diamond has numerous chips along the girdle. Sizer within shank. Exact diamond weight known.","Diamond, Platinum, White Gold Ring, French
The ring features a European-cut diamond measuring 11.88 - 12.34 x 6.86 mm and weighing 6.40 carats, set in platinum and 18k white gold, with French hallmarks. Gross weight 4.47 grams.
Size: 4-1/4 (sizeable)","SOLD ON JUN 26, 2017 FOR: $40,000.00"
3,"Condition Report*:
Diamonds:
Avg Color: M+
Avg Clarity: SI
Shape(s): European-cut, Baguette
Count: 1 - 25

Metals:
Platinum

Overall Condition: Very Good
Condition Notes: An impressive stone. Obscured platinum mark inside shank. Minor nicks along the girdle edge and a chip under one prong and along the girdle edge. Exact weight known.","Diamond, Platinum Ring
The ring features a European-cut diamond measuring 12.87 - 13.01 x 7.07 mm and weighing 7.15 carats, enhanced by baguette-cut diamonds, set in platinum. Gross weight 5.51 grams.
Size: 6 (sizeable)","SOLD ON APR 3, 2017 FOR: $40,000.00"
4,"Condition Report*:
Diamond Average Color: G-H-I
Diamond Color: Fancy Light Yellow
Diamond Certification No: 1172459620
Diamond Lab: GIA
Diamond Average Clarity: SI
Diamond Shapes: Cut-Cornered Rectangular Modified Brilliant, Triangle
Diamond Count: 1 - 25
Overall Condition: Very Good
Notes: Exact diamond weights known. Ring is marked 18k-14k, RNT. Original GIA cert dated December 9, 1999 was sent to GIA for update. Grading matched. Recommend re-rhodium plating the shank of the ring.","Fancy Light Yellow Diamond, Diamond, Gold Ring
The ring features a fancy light yellow cut-cornered rectangular modified brilliant-cut diamond measuring 9.92 x 9.20 x 5.96 mm and weighing 5.04 carats, enhanced by triangle-shaped diamonds weighing a total of 1.52 carats, set in 18k white and yellow gold, completed by a 14k gold shank. A GIA Laboratory report # 1172459620, dated January 20, 2016, stating Fancy Light Yellow color, SI1 clarity, accompanies the center diamond. Gross weight 5.90 grams.
Size: 6-1/4 (sizeable)

Property of a Texas Lady","SOLD ON APR 19, 2016 FOR: $40,000.00"
5,"Condition Report*:
Diamond Average Color: D-E-F
Diamond Color: Fancy Intense Yellow
Diamond Certification No: US 904345601D
Diamond Lab: EGL
Diamond Average Clarity: VS
Diamond Shapes: Oval-shape, Full-cut
Diamond Count: 51 - 75
Overall Condition: Excellent
Notes: A stunning ring - must see!","Fancy Intense Yellow Diamond, Diamond, Gold, Platinum Ring
The ring features an oval-shaped yellow diamond measuring 11.90 x 9.00 x 6.20 mm and weighing 5.87 carats, set in 18k gold, enhanced by full-cut diamonds weighing a total of 1.12 carat, set in platinum. Total diamond weight is approximately 6.99 carats. An EGL Laboratory report #US 904345601D, dated December 5, 2011, stating Fancy Intense Yellow color, VS1 clarity, accompanies the center diamond. Gross weight 9.60 grams.
Size: 6-1/4 (sizeable)","SOLD ON APR 30, 2012 FOR: $40,000.00"
6,"Condition Report*:
Diamond Average Color: D-E-F
Diamond Certification No: 1146943760, 6147943772
Diamond Lab: GIA
Diamond Average Clarity: VS
Diamond Shapes: Pear-shaped, Baguette-cut, Tapered Baguette-cut
Diamond Count: 1 - 25
Overall Condition: Very Good
Notes: A stunning bypass ring. Baguette-cut diamonds are in the G-H-I color range.","Diamond, Platinum Ring, circa 1950
The bypass ring features pear-shaped diamonds, one measuring 11.72 x 8.86 x 4.03 mm and weighing 2.56 carats, and one measuring 12.30 x 9.11 x 4.94 mm and weighing 3.13 carats, enhanced by baguette and tapered baguette-cut diamonds weighing a total of approximately 1.00 carat, set in platinum. Total diamond weight is approximately 6.69 carats. Two GIA Laboratory reports # 1146943760, dated August 20, 2012, stating 2.56 carats, F color, VS2 clarity, and # 6147943772, dated August 20, 2012, stating 3.13 carats, F color, SI1 clarity, accompany the main diamonds. Gross weight 8.41 grams.
Size: 6-1/2 (sizeable)","SOLD ON DEC 3, 2012 FOR: $39,062.50"
7,"Condition Report*:
Diamond Average Color: G-H-I
Diamond Color: Fancy Intense Yellow
Diamond Certification No: US 903620704D
Diamond Lab: EGL
Diamond Average Clarity: VS
Diamond Shapes: Oval-cut, Full-cut
Diamond Count: 26 - 50
Overall Condition: Excellent
Notes: Yellow diamond is so intense - looks like someone captured the sun! Actual diamond weight is known.","Fancy Intense Yellow Diamond, Diamond, Platinum, Gold Ring
The ring features an oval-shaped diamond measuring 9.00 x 8.00 x 5.34 mm and weighing 3.04 carats, set in 18k gold, enhanced by full-cut diamonds weighing a total of 1.02 carats, set in platinum. An EGL report # 903620704D dated August 17, 2011 stating Fancy Intense Yellow color, VS1 clarity accompanies the center diamond. Gross weight 6.28 grams.
*Size: 6-1/2 (sizeable)","SOLD ON DEC 6, 2011 FOR: $38,837.50"
8,"Condition Report*:
Diamond Average Color: J-K-L
Diamond Certification No: 2135913355
Diamond Lab: GIA
Diamond Average Clarity: SI
Diamond Shapes: Round Brilliant-cut, Tapered Baguette-cut
Diamond Count: 1 - 25
Overall Condition: Very Good
Notes: A timeless design.","Diamond, Platinum Ring
The ring features a round brilliant-cut diamond measuring 10.29 x 10.52 x 6.52 mm and weighing 4.41 carats, enhanced by tapered baguette-cut diamonds weighing a total of approximately 0.30 carat, set in platinum. A GIA Laboratory report # 2135913355 dated September 27, 2011, stating J color, SI1 clarity, Laser Drill Hole accompanies the center diamond. Gross weight 7.88 grams.
Size: 5-1/2 (sizeable)

The Property of a Beverly Hills Estate","SOLD ON DEC 6, 2011 FOR: $38,837.50"
9,"Condition Report*:
Diamond Average Color: H-I-J
Diamond Color: Yellow
Diamond Average Clarity: VS - SI
Diamond Shapes: Baguette
Diamond Count: 1 - 25
Overall Condition: Very Good","Colored Diamond, Diamond, Platinum Ring
The ring features a fancy yellow round brilliant-cut diamond measuring 11.95 - 11.90 x 6.55 mm and weighing approximately 5.65 carats, enhanced by baguette-cut diamonds weighing a total of approximately 1.50 carats, channel set in platinum. (colored diamond not tested for origin of color) Total diamond weight for the ring is approximately 7.15 carats. Gross weight 12.80 grams.
*Note: Size 5-1/2 (sizeable)","SOLD ON MAY 20, 2008 FOR: $38,837.50"
10,"Condition Report*:
Diamond Average Color: G-H-I
Diamond Certification No: 2175121789
Diamond Lab: GIA
Diamond Average Clarity: VVS
Diamond Shapes: Round brilliant-cut and tapered baguette-cut
Diamond Count: 1 - 25
Overall Condition: Very Good
Notes: An understated classic. Marked: Pt 950, unknown mark.","Diamond, Platinum Ring
The ring features a round brilliant-cut diamond measuring 9.28 - 9.34 x 5.83 mm and weighing 3.12 carats, enhanced by tapered baguette-cut diamonds weighing a total of approximately 0.40 carat, set in platinum. A GIA Laboratory report # 2175121789, dated April 17, 2015, stating G color, VVS2 clarity, accompanies the center diamond. Gross weight 6.00 grams.
Size: 6-1/2 (sizeable)

Property of a Los Angeles Collector","SOLD ON SEP 28, 2015 FOR: $38,000.00"
11,"Condition Report*:
Diamonds:
Avg Color: G-H-I
Avg Clarity: VS
Shape(s): Emerald-cut
Count: 1 - 25

Colored Gems:

Certified Gems:
Gem: 1
Lab: AGL
Certification #: 1095430
Carat: 13.77
Shape: Emerald-cut
Origin: Ceylon
Treatment: None
Type: Natural Yellow Sapphire

Metals:
Gold

Overall Condition: Very Good
Condition Notes: The stone weights are known. Moderate scratches and nicks to the table and crown of the sapphire.","Ceylon Yellow Sapphire, Diamond, Platinum Ring
The ring centers an emerald-cut yellow sapphire measuring 13.43 x 11.05 x 9.68 mm and weighing 13.77 carats, flanked by emerald-cut diamonds weighing a total of 1.63 carats, set in 18k white and yellow gold. An AGL report # 1095430, dated October 4, 2018, stating Natural Corundum, Natural Sapphire, Yellow, Origin Sri Lanka (Ceylon), No Indications of Heat Enhancement, accompanies the center stone. Gross weight 9.70 grams.
Size: 6 (sizeable)","SOLD ON DEC 8, 2019 FOR: $37,500.00"
12,"Condition Report*:
Diamonds:
Avg Color: G-H-I
Avg Clarity: SI
Shape(s): Baguette
Count: 1 - 25

Certified Diamonds:
Stone: 1
Lab: GIA
Certification #: 5202687371
Carat: 2.57
Color: I
Clarity: VS1
Shape: Emerald-cut

Colored Gems:
Type(s): Emerald
Shape(s): Baguette
Count: 1 - 25
Avg Quality: Good

Metals:
Gold

Overall Condition: Very Good
Condition Notes: The ring is marked Ambrosi 750. Signs of soldering on the shank. Accompanied by a copy of a Neiman Marcus Insurance Appraisal dated November 5, 2002 stating a replacement value of $45,000.","Diamond, Emerald, Gold Ring, Ambrosi
The ring centers an emerald-cut diamond measuring 9.27 x 7.01 x 4.37 mm and weighing 2.57 carats, enhanced by trapezoid and baguette-cut emeralds weighing a total of approximately 4.21 carats, accented by baguette-cut diamonds weighing a total of approximately 1.34 carats, set in 18k white and yellow gold, marked Ambrosi. A GIA report # 5202687371, dated October 25, 2019, stating I color, VS1 clarity, accompanies the center stone. Gross weight 11.50 grams.
Size: 5-3/4 (sizeable)

Collection of a California Lady","SOLD ON DEC 8, 2019 FOR: $37,500.00"
13,"Condition Report*:
Diamonds:
Colored Diamond Color: Pink
Avg Color: G-H-I
Avg Clarity: VS
Shape(s): Full-cut
Count: 100+

Certified Diamonds:
Stone: 1
Lab: GIA
Certification #: 14163809
Carat: 2.25
Color: Fancy Grayish Yellowish Green
Clarity: VS2
Shape: Oval

Metals:
Gold

Overall Condition: Very Good
Condition Notes: A chameleon that stands out! Marked 750 2.25. Chameleon diamonds are one of the rarest types of diamonds in the world. When left as instructed in the GIA report, this diamond changes to a Fancy Yellow color.","Chameleon Diamond, Pink Diamond, Diamond, Gold Ring
The ring features an oval-shaped diamond measuring 10.22 x 7.43 x 3.87 mm and weighing 2.25 carats, enhanced by full-cut pink diamonds weighing a total of approximately 0.15 carat, accented by full-cut diamonds weighing a total of approximately 0.30 carat, set in 18k white gold having rose and yellow gold accents. A GIA report # 14163809, dated March 19, 2019, stating Fancy Grayish Yellowish Green color, VS2 clarity, accompanies the oval-shaped diamond. Gross weight 5.20 grams.
Size: 6-1/2 (sizeable)
*Note: pink diamonds not tested for origin of color

The GIA Laboratory report states: ""The color of this stone changes temporarily when gently heated, or when left in darkness for a period of time and is known in the trade as 'Chameleon'.""","SOLD ON APR 29, 2019 FOR: $37,500.00"
14,"Condition Report*:
Diamonds:

Certified Diamonds:
Stone: 1
Lab: GIA
Certification #: 6207133372
Carat: 2.33
Color: E
Clarity: VS1
Shape: Round Brilliant

Metals:
Platinum

Overall Condition: Very Good
Condition Notes: The ring is accompanied by the interior and exterior box. The ring is marked De Beers 950 A05306. The ring is accompanied by the original Prestige Diamond report from De Beers. The diamond is inscribed DE BEERS D60C 1028.","Diamond, Platinum Ring, De Beers
The ring features a round brilliant-cut diamond measuring 8.57 - 8.65 x 5.23 mm and weighing 2.33 carats, set in platinum, marked De Beers. A GIA report # 6207133372, dated March 14, 2019, stating E color, VS1 clarity, accompanies the diamond. Gross weight 5.60 grams.
Size: 4-3/4 (sizeable)","SOLD ON APR 29, 2019 FOR: $37,500.00"
15,"Condition Report*:
Diamonds:

Certified Diamonds:
Stone: 1
Lab: GIA
Certification #: 2191566110
Carat: 2.55
Color: Natural, Fancy Vivid Yellow, Even
Clarity: VS2
Shape: Rectangular Modified Brilliant

Stone: 2
Lab: GIA
Certification #: 5191568547
Carat: 1.26
Color: E
Clarity: VS2
Shape: Modified Shield Step Cut

Stone: 3
Lab: GIA
Certification #: 5192568557
Carat: 1.11
Color: D
Clarity: SI2
Shape: Modified Shield Step Cut

Metals:
Platinum

Overall Condition: Very Good
Condition Notes: An absolutely breathtaking trio of diamonds! Ring is marked G& CO, GARRARD, 950, with English hallmarks. Accompanied by a signed box. Sizing may disrupt the marks in the shank.","Fancy Vivid Yellow Diamond, Diamond, Platinum, Gold Ring, Garrard & Co., English
The ring features a rectangular brilliant-cut fancy vivid yellow diamond measuring 9.60 x 6.35 x 5.11 mm and weighing 2.55 carats, set in 18k gold, flanked by two shield step-cut diamonds, one measuring 7.34 x 7.49 x 2.92 mm and weighing 1.26 carats, and one measuring 7.30 x 7.45 x 2.76 mm and weighing 1.11 carats, set in platinum, marked Garrard, having English hallmarks. Gross weight 6.50 grams.
Size: 7 (sizeable)

Three GIA reports, dated August 8, 2018 and August 15, 2018 accompany the diamonds:
# 2191566110, stating Natural, Fancy Vivid Yellow, Even color, VS2 clarity, 2.55 carats
# 5191568547, stating E color, VS2 clarity, 1.26 carats
# 5192568557, stating D color, SI2 clarity, 1.11 carats","SOLD ON DEC 3, 2018 FOR: $37,500.00"
