,Ring Price,Ring Gross Weight,Ring Size,Diamond Weight/Carats,Diamond Count
0,4000000.0,5.1,6.0,3.45,25.0
1,4000000.0,6.9,6.0,5.01,50.0
2,4000000.0,4.47,4.0,6.4,25.0
3,4000000.0,5.51,6.0,7.15,25.0
4,4000000.0,5.9,6.0,5.04,25.0
5,4000000.0,9.6,6.0,5.87,75.0
6,3906250.0,8.41,6.0,2.56,25.0
7,3883750.0,6.28,6.0,3.04,50.0
8,3883750.0,7.88,5.0,4.41,25.0
9,3883750.0,12.8,5.0,5.65,25.0
10,3800000.0,6.0,6.0,3.12,25.0
11,3750000.0,9.7,6.0,13.77,25.0
12,3750000.0,11.5,5.0,2.57,25.0
13,3750000.0,5.2,6.0,2.25,100.0
14,3750000.0,5.6,4.0,2.33,
15,3750000.0,6.5,7.0,2.55,
16,3750000.0,8.7,5.0,2.12,
17,3750000.0,13.21,8.0,5.19,
18,3750000.0,5.9,5.0,4.08,25.0
19,3750000.0,6.3,5.0,3.03,25.0
20,3750000.0,10.72,6.0,4.03,25.0
21,3750000.0,5.32,4.0,5.67,25.0
22,3750000.0,12.4,6.0,4.39,25.0
23,3750000.0,8.47,,3.01,100.0
24,3750000.0,8.01,,5.51,25.0
25,3750000.0,11.52,4.0,3.16,25.0
26,3750000.0,9.6,6.0,5.87,75.0
27,3750000.0,17.85,6.0,6.34,75.0
28,3750000.0,19.02,7.0,3.11,100.0
29,3750000.0,6.4,5.0,4.69,75.0
30,3740000.0,4.5,6.0,3.89,25.0
31,3734375.0,8.5,6.0,4.33,75.0
32,3625000.0,18.6,6.0,19.43,25.0
33,3625000.0,3.9,5.0,2.69,25.0
34,3625000.0,11.19,5.0,5.14,50.0
35,3585000.0,6.7,5.0,6.98,25.0
36,3585000.0,7.6,,3.03,25.0
37,3585000.0,6.8,6.0,4.98,25.0
38,3585000.0,5.5,,4.25,
39,3500100.0,6.6,5.0,3.04,25.0
40,3500000.0,24.2,7.0,11.7,75.0
41,3500000.0,5.4,5.0,5.69,25.0
42,3500000.0,4.3,6.0,2.74,50.0
43,3500000.0,,,,
44,3500000.0,5.8,7.0,2.28,25.0
45,3500000.0,11.27,6.0,25.18,25.0
46,3500000.0,5.7,7.0,6.0,25.0
47,3400000.0,16.1,4.0,6.05,100.0
48,3375000.0,12.2,6.0,5.28,25.0
49,3375000.0,13.0,5.0,5.03,25.0
50,3375000.0,26.71,,5.56,75.0
51,3375000.0,11.7,5.0,18.84,25.0
52,3346000.0,24.7,10.0,7.03,25.0
53,3250000.0,15.18,8.0,7.47,75.0
54,3250000.0,19.9,,6.06,100.0
55,3250000.0,9.9,6.0,4.02,25.0
56,3250000.0,17.62,,5.08,25.0
57,3250000.0,7.8,6.0,2.45,25.0
58,3250000.0,18.8,6.0,17.63,75.0
59,3250000.0,6.28,6.0,3.04,50.0
60,3250000.0,13.17,5.0,3.8,25.0
61,3250000.0,5.0,7.0,4.0,25.0
62,3250000.0,6.8,5.0,9.3,50.0
63,3250000.0,3.6,5.0,2.25,25.0
64,3250000.0,8.0,6.0,3.2,75.0
65,3250000.0,20.9,5.0,6.9,100.0
66,3226500.0,17.2,7.0,34.21,
67,3190000.0,5.7,7.0,4.07,25.0
68,3125000.0,7.1,6.0,3.03,50.0
69,3125000.0,5.0,4.0,4.28,25.0
70,3125000.0,11.7,6.0,3.0,50.0
71,3125000.0,11.1,,8.94,75.0
72,3125000.0,8.6,6.0,6.33,25.0
73,3125000.0,7.47,6.0,3.06,75.0
74,3125000.0,6.6,6.0,7.36,25.0
75,3125000.0,6.6,5.0,,25.0
76,3125000.0,7.0,5.0,6.22,25.0
