,ID,URLs
0,1,https://jewelry.ha.com/itm/estate-jewelry/art-deco-natural-fancy-blue-diamond-diamond-platinum-ring-je-caldwell/a/5130-58439.s?ic4=GalleryView-ShortDescription-071515
1,2,https://jewelry.ha.com/itm/estate-jewelry/fancy-vivid-yellow-diamond-diamond-platinum-gold-ring/a/5502-55362.s?ic4=GalleryView-ShortDescription-071515
2,3,https://jewelry.ha.com/itm/estate-jewelry/fancy-light-pink-diamond-colored-diamond-diamond-rose-gold-ring-m-pharo/a/5504-55274.s?ic4=GalleryView-ShortDescription-071515
3,4,https://jewelry.ha.com/itm/estate-jewelry/fancy-blue-diamond-diamond-platinum-ring/a/5312-55393.s?ic4=GalleryView-ShortDescription-071515
4,5,https://jewelry.ha.com/itm/estate-jewelry/kashmir-sapphire-diamond-platinum-ring/a/5256-54297.s?ic4=GalleryView-ShortDescription-071515
5,6,https://jewelry.ha.com/itm/estate-jewelry/fancy-light-pink-diamond-diamond-pink-gold-ring-chopard/a/5208-54399.s?ic4=GalleryView-ShortDescription-071515
6,7,https://jewelry.ha.com/itm/estate-jewelry/kashmir-sapphire-diamond-platinum-ring/a/5092-58428.s?ic4=GalleryView-ShortDescription-071515
7,8,https://jewelry.ha.com/itm/estate-jewelry/diamond-white-gold-ring/a/5178-58167.s?ic4=GalleryView-ShortDescription-071515
8,9,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-ring-tiffany-and-co/a/5502-55024.s?ic4=GalleryView-ShortDescription-071515
9,10,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-ring/a/5048-58348.s?ic4=GalleryView-ShortDescription-071515
10,11,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-ring/a/5200-54435.s?ic4=GalleryView-ShortDescription-071515
11,12,https://jewelry.ha.com/itm/estate-jewelry/fancy-intense-purplish-pink-diamond-diamond-platinum-ring/a/5312-55392.s?ic4=GalleryView-ShortDescription-071515
12,13,https://jewelry.ha.com/itm/estate-jewelry/fancy-yellow-diamond-diamond-platinum-gold-ring/a/5237-54395.s?ic4=GalleryView-ShortDescription-071515
